neuron_name,region_UBERON,region_ABA,annotations_ABA,annotations_UBERON
Olfactory bulb (main) mitral cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main)', u'HBP_MORPHOLOGY:0000030']","[u'ABA_REGION:507', 'Missing:(main)', u'HBP_MORPHOLOGY:0000030']"
Auditory Cortex layer 3-4 Fast Spiking Inhibitory Neurons,AUD,AUD,"[u'ABA_REGION:247', u'HBP_LAYER:0000121', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', 'Function:Inhibitory']","[u'ABA_REGION:247', u'HBP_LAYER:0000121', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', 'Function:Inhibitory']"
Auditory Cortex layer 3-4 Regular Spiking Pyramidal Cell,AUD,AUD,"[u'ABA_REGION:247', u'HBP_LAYER:0000121', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:247', u'HBP_LAYER:0000121', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
Dorsolateral prefrontal cortex layer 2-3 fast-spiking interneuron,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', u'HBP_LAYER:0000111', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', u'HBP_LAYER:0000111', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Dorsolateral prefrontal cortex local arbor fast-spiking interneuron ,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', 'Function:local', 'Missing:arbor', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', 'Function:local', 'Missing:arbor', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Dorsolateral prefrontal cortex medium arbor fast-spiking interneuron,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', 'Size:medium', 'Missing:arbor', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', 'Size:medium', 'Missing:arbor', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Dorsolateral prefrontal cortex wide arbor fast-spiking interneuron,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', 'Missing:wide arbor', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', 'Missing:wide arbor', 'Missing:wide arbor', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Dorsolateral prefrontal cortex layer 2-3 intermediate-spiking double bouquet interneuron,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', u'HBP_LAYER:0000111', 'Missing:intermediate', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000005']","[u'UNKN_REGION:34', u'ABA_REGION:714', u'HBP_LAYER:0000111', 'Missing:intermediate', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000005']"
Dorsolateral prefrontal cortex chandelier fast-spiking interneuron,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', u'HBP_MORPHOLOGY:0000007', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', u'HBP_MORPHOLOGY:0000007', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Dorsolateral prefrontal cortex layer 2-3 pyramidal regular-spiking cell,dorsolateral prefrontal cortex,dorsolateral ORB,"[u'UNKN_REGION:34', u'UNKN_REGION:5765', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']","[u'UNKN_REGION:34', u'ABA_REGION:714', u'HBP_LAYER:0000111', u'HBP_MORPHOLOGY:0000001', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']"
associative parietal and visual cortex layer 5 pyramidal cell projecting to superior colliculus,parietal VIS superior colliculus,parietal VIS superior colliculus,"['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:3295']","['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:3295']"
associative parietal and visual cortex layer 5 pyramidal cell projecting to contralateral cortex,parietal VIS contralateral,parietal VIS contralateral CTX,"['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:28', 'Missing:cortex']","['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:28', u'ABA_REGION:688']"
associative parietal and visual cortex layer 5 pyramidal cell projecting to contralateral cortex,parietal VIS contralateral,parietal VIS contralateral CTX,"['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:28', 'Missing:cortex']","['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:28', u'ABA_REGION:688']"
associative parietal and visual cortex layer 5 pyramidal cell projecting to superior colliculus,parietal VIS superior colliculus,parietal VIS superior colliculus,"['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:3295']","['Missing:associative', u'UNKN_REGION:32', 'Missing:and', u'ABA_REGION:669', u'HBP_LAYER:0000005', u'HBP_MORPHOLOGY:0000001', 'Missing:projecting to', u'UNKN_REGION:3295']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Spinal cord ventral horn interneuron II,spinal cord ventral horn,spinal cord ventral horn,"[u'UNKN_REGION:4645', u'UNKN_REGION:240', 'Missing:II']","[u'UNKN_REGION:4645', u'UNKN_REGION:240', 'Missing:II']"
Spinal cord ventral horn motor neuron alpha,spinal cord ventral horn,spinal cord ventral horn,"[u'UNKN_REGION:4645', u'UNKN_REGION:240', 'Function:motor', 'Missing:alpha']","[u'UNKN_REGION:4645', u'UNKN_REGION:240', 'Function:motor', 'Missing:alpha']"
Ventral tegmental area dopamine neuron,VTA,VTA,"[u'ABA_REGION:749', u'HBP_NEUROTRANSMITTER:0000007']","[u'ABA_REGION:749', u'HBP_NEUROTRANSMITTER:0000007']"
Neostraitum fast-spiking gabaergic interneuron,,,"['Missing:Neostraitum', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']","['Missing:Neostraitum', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']"
Neostraitum fast-spiking gabaergic interneuron,,,"['Missing:Neostraitum', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']","['Missing:Neostraitum', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_NEUROTRANSMITTER:0000003']"
Neostriatum medium-sized spiny projection neurons,CP,CP,"[u'ABA_REGION:672', 'Size:medium', 'Missing:-sized', u'HBP_MORPHOLOGY:0000011', 'Function:projection']","[u'ABA_REGION:672', 'Size:medium', 'Missing:-sized', u'HBP_MORPHOLOGY:0000011', 'Function:projection']"
Neostriatum medium-sized spiny projection neurons,CP,CP,"[u'ABA_REGION:672', 'Size:medium', 'Missing:-sized', u'HBP_MORPHOLOGY:0000011', 'Function:projection']","[u'ABA_REGION:672', 'Size:medium', 'Missing:-sized', u'HBP_MORPHOLOGY:0000011', 'Function:projection']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Amygdala corticomedial nucleus pyramidal cell,,sAMY,"['Missing:Amygdala corticomedial nucleus', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:278', 'Missing:corticomedial nucleus', u'HBP_MORPHOLOGY:0000001']"
Amygdala corticomedial nucleus pyramidal cell,,sAMY,"['Missing:Amygdala corticomedial nucleus', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:278', 'Missing:corticomedial nucleus', u'HBP_MORPHOLOGY:0000001']"
Primary visual cortex EGFP+ pyramidal neurons,VISp,VISp,"[u'ABA_REGION:385', 'Missing:EGFP+', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:385', 'Missing:EGFP+', u'HBP_MORPHOLOGY:0000001']"
lumbar 4 and lumbar 5 dorsal root ganglion large cell,lumbar lumbar dorsal root ganglion,lumbar lumbar dorsal root ganglion,"[u'UNKN_REGION:7280', 'Missing:4 and', u'UNKN_REGION:7280', 'Missing:5', u'UNKN_REGION:7287', 'Size:large']","[u'UNKN_REGION:7280', 'Missing:4 and', u'UNKN_REGION:7280', 'Missing:5', u'UNKN_REGION:7287', 'Size:large']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
silent nucleus pontis caudalis neurons,PG,PG,"['Missing:silent', u'ABA_REGION:931', 'Missing:caudalis', 'Missing:caudalis']","['Missing:silent', u'ABA_REGION:931', 'Missing:caudalis', 'Missing:caudalis']"
Spontaneuous firing nucleus pontis caudalis neurons,PG,PG,"['Missing:Spontaneuous', u'HBP_EPHYS_TRIGGER:0000004', u'ABA_REGION:931', 'Missing:caudalis', 'Missing:caudalis']","['Missing:Spontaneuous', u'HBP_EPHYS_TRIGGER:0000004', u'ABA_REGION:931', 'Missing:caudalis', 'Missing:caudalis']"
nucleus accumbens core medium spiny neuron,ACB,ACB,"[u'ABA_REGION:56', 'Missing:core', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:56', 'Missing:core', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Hippocampus stratum oriens alveus interneurons,HPF stratum oriens alv,HIP stratum oriens alv,"[u'ABA_REGION:1089', u'UNKN_REGION:5667', u'ABA_REGION:466']","[u'ABA_REGION:1080', u'UNKN_REGION:5667', u'ABA_REGION:466']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Non-bursting trigeminal principal sensory neurons,trigeminal,trigeminal,"['Missing:Non-', u'HBP_EPHYS_TRIGGER:0000005', u'UNKN_REGION:8', 'Function:principal', 'Function:sensory']","['Missing:Non-', u'HBP_EPHYS_TRIGGER:0000005', u'UNKN_REGION:8', 'Function:principal', 'Function:sensory']"
Bursting trigeminal principal sensory neurons,trigeminal,trigeminal,"[u'HBP_EPHYS_TRIGGER:0000005', u'UNKN_REGION:8', 'Function:principal', 'Function:sensory']","[u'HBP_EPHYS_TRIGGER:0000005', u'UNKN_REGION:8', 'Function:principal', 'Function:sensory']"
Trigeminal nucleus principal cell,trigeminal,trigeminal,"[u'UNKN_REGION:8', 'Missing:nucleus', 'Function:principal']","[u'UNKN_REGION:8', 'Missing:nucleus', 'Function:principal']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
sensorimotor cortex layer 2-3 regular spiking pyramidal cell ,,MO,"['Missing:sensorimotor cortex', u'HBP_LAYER:0000111', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:500', u'HBP_LAYER:0000111', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', u'HBP_MORPHOLOGY:0000001']"
Nucleus Accumbens Gabaergic medium spiny synaptic projecting neuron,ACB,ACB,"[u'ABA_REGION:56', u'HBP_NEUROTRANSMITTER:0000003', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Function:synaptic', 'Missing:projecting']","[u'ABA_REGION:56', u'HBP_NEUROTRANSMITTER:0000003', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Function:synaptic', 'Missing:projecting']"
Nucleus Accumbens Gabaergic medium spiny non-synaptic projecting neuron,ACB,ACB,"[u'ABA_REGION:56', u'HBP_NEUROTRANSMITTER:0000003', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Missing:non-', 'Function:synaptic', 'Missing:projecting']","[u'ABA_REGION:56', u'HBP_NEUROTRANSMITTER:0000003', 'Size:medium', u'HBP_MORPHOLOGY:0000011', 'Missing:non-', 'Function:synaptic', 'Missing:projecting']"
Dorsal Raphe Nucleus Serotonergic neuron,DR,DR,"[u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000001']","[u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000001']"
Medial Raphe Nucleus Serotonergic neuron,CS,medial raphe nucleus,"[u'ABA_REGION:679', 'Missing:Serotonergic']","[u'UNKN_REGION:6777', u'HBP_NEUROTRANSMITTER:0000001']"
Medial Raphe Nucleus non-Serotonergic neuron,CS,medial raphe nucleus,"[u'ABA_REGION:679', 'Missing:non-Serotonergic']","[u'UNKN_REGION:6777', u'HBP_NEUROTRANSMITTER:0000002']"
Dorsal Raphe Nucleus non-Serotonergic neuron,DR,DR,"[u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000002']","[u'ABA_REGION:872', u'HBP_NEUROTRANSMITTER:0000002']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
somatosensory barrel cortex layer 5a pyramidal cell,SSp-bfd,SSp-bfd,"['Function:somatosensory', u'ABA_REGION:329', u'HBP_LAYER:0000050', u'HBP_MORPHOLOGY:0000001']","['Function:somatosensory', u'ABA_REGION:329', u'HBP_LAYER:0000050', u'HBP_MORPHOLOGY:0000001']"
somatosensory barrel cortex layer 5b pyramidal cell,SSp-bfd,SSp-bfd,"['Function:somatosensory', u'ABA_REGION:329', u'HBP_LAYER:0000051', u'HBP_MORPHOLOGY:0000001']","['Function:somatosensory', u'ABA_REGION:329', u'HBP_LAYER:0000051', u'HBP_MORPHOLOGY:0000001']"
supraoptic nucleus oxytocin-releasing cell,SO,SO,"[u'ABA_REGION:390', u'NCBI_GENE:18429']","[u'ABA_REGION:390', u'NCBI_GENE:18429']"
Olfactory bulb (main) external tufted cell,,MOB,"['Function:Olfactory', 'Missing:bulb (main) external', u'HBP_MORPHOLOGY:0000031']","[u'ABA_REGION:507', 'Missing:(main) external', u'HBP_MORPHOLOGY:0000031']"
Olfactory bulb (main) periglomerular cell,periglomerular,MOB periglomerular,"['Function:Olfactory', 'Missing:bulb (main)', u'UNKN_REGION:7281']","[u'ABA_REGION:507', 'Missing:(main)', u'UNKN_REGION:7281']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Dorsal motor nucleus of vagus motor neuron,DMX,dorsal motor nucleus of vagus,"[u'ABA_REGION:839', 'Function:motor']","[u'UNKN_REGION:2584', 'Function:motor']"
Dorsal motor nucleus of vagus motor neuron,DMX,dorsal motor nucleus of vagus,"[u'ABA_REGION:839', 'Function:motor']","[u'UNKN_REGION:2584', 'Function:motor']"
Hippocampus CA3 pyramidal cell,CA3,CA3,"[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:463', u'HBP_MORPHOLOGY:0000001']"
Medial vestibular second-order tonic neuron,medial vestibular,medial vestibular,"[u'UNKN_REGION:14', u'UNKN_REGION:7270', 'Missing:second-order', u'HBP_EPHYS:0000001']","[u'UNKN_REGION:14', u'UNKN_REGION:7270', 'Missing:second-order', u'HBP_EPHYS:0000001']"
Medial vestibular second-order phasic neuron,medial vestibular phasic,medial vestibular phasic,"[u'UNKN_REGION:14', u'UNKN_REGION:7270', 'Missing:second-order', u'UNKN_REGION:82']","[u'UNKN_REGION:14', u'UNKN_REGION:7270', 'Missing:second-order', u'UNKN_REGION:82']"
Lateral amygdala projection neuron,LA,LA,"[u'ABA_REGION:131', 'Function:projection']","[u'ABA_REGION:131', 'Function:projection']"
somatosensory cortex layer 4 intrinsically bursting neurons,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000040', u'HBP_EPHYS_TRIGGER:0000005']","[u'ABA_REGION:453', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000040', u'HBP_EPHYS_TRIGGER:0000005']"
somatosensory cortex layer 4 regular spiking neurons,SS,SS,"[u'ABA_REGION:453', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:453', u'HBP_LAYER:0000004', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']"
Basal forebrain GABAergic neurokinin B expressing depolarizing sag neurons projecting to motor cortex,basal forebrain MOp,basal forebrain MO CTX,"[u'UNKN_REGION:5', u'UNKN_REGION:4474', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:neurokinin B expressing depolarizing sag', 'Missing:projecting to', u'ABA_REGION:985']","[u'UNKN_REGION:5', u'UNKN_REGION:4474', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:neurokinin B expressing depolarizing sag', 'Missing:projecting to', u'ABA_REGION:500', u'ABA_REGION:688']"
Basal forebrain GABAergic neurokinin B expressing non-depolarizing sag neurons projecting to motor cortex,basal forebrain MOp,basal forebrain MO CTX,"[u'UNKN_REGION:5', u'UNKN_REGION:4474', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:neurokinin B expressing non-depolarizing sag', 'Missing:projecting to', u'ABA_REGION:985']","[u'UNKN_REGION:5', u'UNKN_REGION:4474', u'HBP_NEUROTRANSMITTER:0000003', 'Missing:neurokinin B expressing non-depolarizing sag', 'Missing:projecting to', u'ABA_REGION:500', u'ABA_REGION:688']"
Hippocampus CA1 Fast-Spiking stratum pyramidale interneuron,CA1 stratum pyramidale,CA1 stratum pyramidale,"[u'ABA_REGION:382', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'UNKN_REGION:3485']","[u'ABA_REGION:382', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', u'UNKN_REGION:3485']"
Hippocampus CA1 oriens lacunosum moleculare non-fast-spiking cell,CA1,CA1,"[u'ABA_REGION:382', 'Missing:oriens lacunosum moleculare', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:382', 'Missing:oriens lacunosum moleculare', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampus CA1 stratum radiatum non-fast-spiking cell,CA1 CA1sr,CA1 stratum radiatum,"[u'ABA_REGION:382', u'ABA_REGION:415', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:382', u'UNKN_REGION:1407', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Hippocampus CA1 stratum pyramidale non-fast-spiking interneuron,CA1 CA1sp,CA1 stratum pyramidale,"[u'ABA_REGION:382', u'ABA_REGION:407', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:382', u'UNKN_REGION:3485', u'HBP_EPHYS:0000090', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Hippocampus CA1 Stratum Oriens Fast-Spiking Neuron,CA1 CA1so,CA1 stratum oriens,"[u'ABA_REGION:382', u'ABA_REGION:399', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:382', u'UNKN_REGION:5667', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Hippocampus CA1 Stratum Oriens Non-Fast Spiking Neuron,CA1 CA1so,CA1 stratum oriens,"[u'ABA_REGION:382', u'ABA_REGION:399', 'Missing:Non', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:382', u'UNKN_REGION:5667', 'Missing:Non', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Substantia nigra pars compacta dopaminergic cell,SNc,SNc,"[u'ABA_REGION:374', u'HBP_NEUROTRANSMITTER:0000007']","[u'ABA_REGION:374', u'HBP_NEUROTRANSMITTER:0000007']"
Ventral tegmental area dopamine neuron,VTA,VTA,"[u'ABA_REGION:749', u'HBP_NEUROTRANSMITTER:0000007']","[u'ABA_REGION:749', u'HBP_NEUROTRANSMITTER:0000007']"
Striatal Giant Aspiny Interneurons ,,CP,"['Missing:Striatal', 'Size:Giant', u'HBP_MORPHOLOGY:0000012']","[u'ABA_REGION:672', 'Size:Giant', u'HBP_MORPHOLOGY:0000012']"
Neostriatum medium spiny neuron,CP,CP,"[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']","[u'ABA_REGION:672', 'Size:medium', u'HBP_MORPHOLOGY:0000011']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Hippocampal Medial Septum Diagonal Band GABAergic Regular Spiking Neuron,MS diagonal band,HIP medial septum diagonal band,"['Missing:Hippocampal', u'ABA_REGION:564', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000003', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']","[u'ABA_REGION:1080', u'UNKN_REGION:14', u'UNKN_REGION:4176', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000003', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003']"
Medial Septum Diagonal Band Cholinergic Slow Firing Neuron,MS diagonal band,medial septum diagonal band,"[u'ABA_REGION:564', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000005', u'HBP_EPHYS:0000100', u'HBP_EPHYS_TRIGGER:0000004']","[u'UNKN_REGION:14', u'UNKN_REGION:4176', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000005', u'HBP_EPHYS:0000100', u'HBP_EPHYS_TRIGGER:0000004']"
Medial Septum Diagonal Band GABAergic Fast Spiking Neuron,MS diagonal band,medial septum diagonal band,"[u'ABA_REGION:564', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000003', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']","[u'UNKN_REGION:14', u'UNKN_REGION:4176', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000003', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003']"
Hippocampal Medial Septum Diagonal Band GABAergic Burst Firing Neuron,MS diagonal band,HIP medial septum diagonal band,"['Missing:Hippocampal', u'ABA_REGION:564', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000003', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000004']","[u'ABA_REGION:1080', u'UNKN_REGION:14', u'UNKN_REGION:4176', u'UNKN_REGION:6108', u'HBP_NEUROTRANSMITTER:0000003', u'HBP_EPHYS_TRIGGER:0000005', u'HBP_EPHYS_TRIGGER:0000004']"
Hippocampus CA1 pyramidal cell,CA1,CA1,"[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']","[u'ABA_REGION:382', u'HBP_MORPHOLOGY:0000001']"
Spinal cord intermediate horn motor neuron sympathetic,spinal cord sympathetic,spinal cord sympathetic,"[u'UNKN_REGION:4645', 'Missing:intermediate horn', 'Function:motor', u'UNKN_REGION:88']","[u'UNKN_REGION:4645', 'Missing:intermediate horn', 'Function:motor', u'UNKN_REGION:88']"
subiculum weak bursting glutamergic cell,SUB,SUB,"[u'ABA_REGION:502', 'Missing:weak', u'HBP_EPHYS_TRIGGER:0000005', 'Missing:glutamergic']","[u'ABA_REGION:502', 'Missing:weak', u'HBP_EPHYS_TRIGGER:0000005', 'Missing:glutamergic']"
subiculum fast-spiking inhibitory interneuron,SUB,SUB,"[u'ABA_REGION:502', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', 'Function:inhibitory']","[u'ABA_REGION:502', u'HBP_EPHYS:0000080', u'HBP_EPHYS_TRIGGER:0000003', 'Function:inhibitory']"
sublculum regular-spiking glutamergic cell,,,"['Missing:sublculum', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', 'Missing:glutamergic']","['Missing:sublculum', u'HBP_EPHYS:0000001', u'HBP_EPHYS_TRIGGER:0000003', 'Missing:glutamergic']"
subiculum strong bursting glutamergic cell,SUB,SUB,"[u'ABA_REGION:502', 'Missing:strong', u'HBP_EPHYS_TRIGGER:0000005', 'Missing:glutamergic']","[u'ABA_REGION:502', 'Missing:strong', u'HBP_EPHYS_TRIGGER:0000005', 'Missing:glutamergic']"
Medial entorhinal cortex layer II stellate cell,medial entorhinal cortex,medial entorhinal cortex,"[u'UNKN_REGION:2841', u'HBP_LAYER:0000002', u'HBP_MORPHOLOGY:0000013']","[u'UNKN_REGION:2841', u'HBP_LAYER:0000002', u'HBP_MORPHOLOGY:0000013']"
