,Label,Id,Definition,Neurotransmitter,Synonym,"Located in","Has role",Species,CellSomaShape,MolecularConstituents,ExampleImage
":Category:Peptidergic neuron","Peptidergic neuron",nlx_147801,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some peptide (CHEBI:16670).",,,,,,,,
":Category:Peripherally synapsing interneuron","Peripherally synapsing interneuron",nlx_148109,.,,,,,,,,
":Category:Photoreceptor cell (FBbt Term)","Photoreceptor cell (FBbt Term)",nlx_147815,,,,,,,,,
":Category:Photoreceptor cell of Bolwig organ","Photoreceptor cell of Bolwig organ",nlx_148046,"Photoreceptor cell that is part of a Bolwig's organ. Unlike the photoreceptors of the adult eye, eyelet and ocellus, these photoreceptors do not contain rhabdomeres, but instead have apical surfaces which are folded into numerous microtubule containing lamellae.",,"photoreceptor cell of Bolwig''s organ",,,,,,
":Category:Pioneer neuron","Pioneer neuron",nlx_147832,,,,,,,,,
":Category:Posteriolateral neurosecretory cell","Posteriolateral neurosecretory cell",nlx_147722,,,,,,,,,
":Category:Posterior fascicle sensory neuron","Posterior fascicle sensory neuron",nlx_146756,"Any sensory neuron (FBbt_00005124) that fasciculates with some segmental nerve (FBbt_00002037).",,,,,,,,
":Category:PreBotzinger complex neuron","PreBotzinger complex neuron",nlx_151905,,,,":Category:PreBotzinger complex",,:Category:Vertebrata,,,
":Category:Projection neuron (FBbt Term)","Projection neuron (FBbt Term)",nlx_148097,"An interneuron that projects from some primary sensory neuropil (e.g. the antennal lobe) to a higher brain neuropil.",,,,,,,,
":Category:Prothoracic gland innervating neuron","Prothoracic gland innervating neuron",nlx_148148,"Any neuron (FBbt_00005106) that has synaptic terminals in some prothoracic gland (FBbt_00001724).",,,,,,,,
":Category:Prothoracic ventral neurosecretory neuron","Prothoracic ventral neurosecretory neuron",nlx_147768,.,,,,,,,,
":Category:Protocerebral bridge lateral neuron PBl","Protocerebral bridge lateral neuron PBl",nlx_148214,"Large field neuron of the central complex that is intrinsic to the protocerebral bridge. Its fiber enters the protocerebral bridge laterally and arborizes in all 16 glomeruli. The soma of these neurons are located in the posterior cortex, medial and ventral to the Kenyon cell soma.",,,,,,,,
":Category:Pupal DN period neuron","Pupal DN period neuron",nlx_148536,"A Per (FBgn0003068) expressing neuron that is located in a dorsoanterior cluster in the pupal brain.",,,,,,,,
":Category:Pupal DN1 period neuron","Pupal DN1 period neuron",nlx_148537,,,,,,,,,
":Category:Pupal DN2 period neuron","Pupal DN2 period neuron",nlx_148538,,,,,,,,,
":Category:Pupal DN3 period neuron","Pupal DN3 period neuron",nlx_148539,,,,,,,,,
":Category:Pupal LN period neuron","Pupal LN period neuron",nlx_148535,"Laterally located period (FBgn0003068) expressing neuron of the pupal brain.",,,,,,,,
":Category:Pupal Pdf negative s-LNv neuron","Pupal Pdf negative s-LNv neuron",nlx_148530,"Pupal s-LNv neuron that does not express Pdf (FBgn0023178) (Kaneko et al., 1997). There is only one of these per ventral cluster of LN period neurons.",,,,,,,,
":Category:Pupal Pdf neuron","Pupal Pdf neuron",nlx_148522,"Pdf expressing neuron that is part of the pupa.",,,,,,,,
":Category:Pupal Pdf neuron close to calyx","Pupal Pdf neuron close to calyx",nlx_148525,"Neuron of the pupa that is located dorsoanterior to the calyx of the mushroom body and that expresses Pdf (FBgn0023178).",,,,,,,,
":Category:Pupal Pdf neuron close to tritocerebrum","Pupal Pdf neuron close to tritocerebrum",nlx_148526,"Pupal Pdf expressing neuron whose soma is located in a cluster antero-ventral the tritocerebrum. There are 2-4 of these per cluster.",,,,,,,,
":Category:Pupal antennal lobes tachykinin neuron","Pupal antennal lobes tachykinin neuron",nlx_149001,"Pupal neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the cortex of the antennal lobes (Winther et al., 2003).",,"pupal LPP2 neuron",,,,,,
":Category:Pupal large descending DN tachykinin neuron","Pupal large descending DN tachykinin neuron",nlx_148997,"Pupal neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the lateral protocerebrum and that innervates the ventral nerve cord (Winther et al., 2003).",,"pupal tachykinin DN neuron",,,,,,
":Category:Pupal pacemaker neuron","Pupal pacemaker neuron",nlx_148515,"Pacemaker neuron that is part of the pupa.",,,,,,,,
":Category:Pupal protocerebral LPP2 tachykinin neuron","Pupal protocerebral LPP2 tachykinin neuron",nlx_148999,"Pupal neuron that expresses tachykinin (FBgn0037976), whose cell body is located in the lateral posterior protocerebrum and that innervates the superior median protocerebrum and fan-shaped body (Winther et al., 2003).",,"pupal LPP2 neuron",,,,,,
":Category:Pupal s-LNv neuron","Pupal s-LNv neuron",nlx_148529,"Larval neuron of the period-expressing LNv cluster, with a small cell body and generally located more dorsally than the l-LNv neurons. There are 5 cells present in each cluster, all except one of which express Pdf (FBgn0023178).",,,,,,,,
":Category:Pupal tachykinin neuron of the central nervous system","Pupal tachykinin neuron of the central nervous system",nlx_149021,"Pupal neuron that expresses tachykinin (FBgn0037976) and that is located in the central nervous system (Winther et al., 2003).",,,,,,,,
":Category:Retina B ganglion cell","Retina B ganglion cell",BAMSC1010,"Sixty to eight neurons with small somata (12 to 24 micrometers in diameter), small dendritic fields (99 to 289 micrometers in diameter), and small axonal diameters (04. to 07. micrometers in diameter) make up Group RGB.We classified cells with a large soma and a large dendritic field as RGA, cells with a small to  to medium to sized soma and a small to  to medium to sized dendritic field as RGB, and cells with a small to  to medium to sized soma but a medium to to to large dendritic field RGC.",,"Retina ganglion cell B",,,:Category:Vertebrata,,,
":Category:Retina C ganglion cell","Retina C ganglion cell",BAMSC1011,"Group RGC cells are defined as having small to to to medium cell bodies and medium to to to large dendritic fields. Their morphology was more heterogeneous than that of Groups RGA and RGB. We classified cells with a large soma and a large dendritic field as RGA, cells with a small to  to medium to sized soma and a small to  to medium to sized dendritic field as RGB, and cells with a small to  to medium to sized soma but a medium to to to large dendritic field RGC.",,"Retina ganglion cell C",,,:Category:Vertebrata,,,
":Category:Retina Giant-Melanopsin Ganglion Cell","Retina Giant-Melanopsin Ganglion Cell",nlx_144277,"Recently discovered primate ganglion cell that expresses Melanopsin.  Intrinsically photo-sensitive. Morphologically has dendritic arborization that is much wider than the Parasols.  Thought to be involved in Pupillary responses.",,"Retina Ganglion Cell Giant-Melanopsin",,,:Category:Vertebrata,,,
":Category:Retina Off-Midget Ganglion Cell","Retina Off-Midget Ganglion Cell",nlx_144275,"Physiologically classified as the main ganglion cells with small receptive fields driven by center-off input. Matched with morphologically defined cell of extremely small dendritic arborization. As a population forms both a physical mosaic within retina as well as a receptive field mosaic of stimulus space. Both receptive field size and dendritic arborization are distinct from the corresponding On-Midget.",,"P Cell,Retina Ganglion Cell Off-Midget",,,:Category:Vertebrata,,,
":Category:Retina Off-Upsilon Ganglion Cell","Retina Off-Upsilon Ganglion Cell",nlx_144269,"Physiologically defined Primate Ganglion Cell.  Characterized by large receptive fields, highly non-linear spatial summation and highly transient OFF response to diffuse light.   No known Morphological counterpart.",,"Retina Ganglion Cell Off-Upsilon",":Category:Retina ganglion cell layer",,:Category:Vertebrata,,,
":Category:Retina On-Midget Ganglion Cell","Retina On-Midget Ganglion Cell",nlx_144271,"Physiologically classified as the main ganglion cells with small receptive fields driven by center-On input.  Matched with morphologically defined cell of extremely small dendritic arborization.  As a population forms both a physical mosaic within retina as well as a receptive field mosaic of stimulus space.

Both receptive field size and dendritic arborization are distinct from the corresponding Off-Midget",:Category:Glutamate,"P-Cell,Retina Ganglion Cell On-Midget",":Category:Retina ganglion cell layer",":Category:Principal neuron role",:Category:Vertebrata,"Category:Spherical ",,
":Category:Retina On/Off-Parasol Ganglion Cell","Retina On/Off-Parasol Ganglion Cell",nlx_144276,"Along with the On/Off-Midget cells, the Parasols form the majority of the Retina Ganglion Cells.  Receptive fields and dendritic arborization are both larger than the Midget Cells.  Highly sensitive to contrast. The On and Off Cells have slightly different receptive field size as well as a difference in Dendrite location.",,"M-Cells,Retina Ganglion Cell On/Off-Parasol",,,:Category:Vertebrata,,,
":Category:Retina Retina narrow-field AII amacrine cell","Retina Retina narrow-field AII amacrine cell",nlx_152143,"This subtype of amacrine (no axon) cell ""sends a thick stalk to the ON level of the inner plexiform layer where it arborizes richly to collect chemical synapses from rod bipolar terminals"" (Sterling and Demb, Syn Org of the Brain, p. 223).  It also has numerous gap junctions with cone ON bipolar cell terminals.",,,":Category:Retinal inner nuclear layer",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Oval ",,
":Category:Retina amacrine cell","Retina amacrine cell",nifext_36,"Cell in the inner plexiform layer of the retina, consisting of multiple dendrites and no axon.  It makes synaptic connections with bipolar cell terminals and ganglion cell dendrites, as well as other amacrine cell dendrites.  Amacrine II cells have gap junctions with bipolar terminals and other amacrine cells, which are switched on for night time vision.",":Category:GABA,:Category:Glycine,:Category:Dopamine","Amacrine Neuron type II,Type II Amacrine cell",":Category:Retina inner plexiform layer",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Multipolar ",,"File:Retina amacrine cell.jpeg"
":Category:Retina bipolar cell","Retina bipolar cell",nifext_31,"Small cell in the retina with one peripheral process connecting to terminals of photoreceptors and horizontal cells and the other process connecting to dendrites of ganglion cells and amacrine cells.  It provides the straight-through pathway for visual responses from photoreceptors to ganglion cells.  Several varieties are related to specific processing pathways.  O",:Category:Glutamate,"Retinal Bipolar Neuron,retinal bipolar cell",":Category:Retina inner nuclear layer",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Spherical ",,"File:Retina bipolar cell.gif"
":Category:Retina bipolar cell off","Retina bipolar cell off",nifext_33,,,"Off cell",,,,,,
":Category:Retina bipolar cell on","Retina bipolar cell on",nifext_32,,,"On cell",,,:Category:Vertebrata,,,
":Category:Retina bistratified amacrine cell","Retina bistratified amacrine cell",BAMSC1055,"Collator note: bistratified amacrine cells are not explicitly defined by Perry and Walker. Perry and Walker describe three types of bistratified amacrine cells, having thef dendrites or spines distributed in two strata as the common character.",,"bistratified amacrine cell",,,,,,
":Category:Retina displaced amacrine cell","Retina displaced amacrine cell",nifext_39,,,"Displaced amacrine cell,Retina amacrine cell displaced",,,,,,
":Category:Retina ganglion cell","Retina ganglion cell",nifext_17,"The main principal neuron of the retina, whose axon projects to several sites in the brain: lateral geniculate nucleus on the pathway to visual cortex, superior colliculus and suprachiasmatic nucleus.  It receives input from bipolar cells, and has synaptic inputs",:Category:Glutamate,"Retinal Ganglion Neuron,Retinal ganglion cell",":Category:Retina,:Category:Retina ganglion cell layer",,:Category:Vertebrata,"Category:Spherical ",,"File:Retina ganglion cell.gif"
":Category:Retina ganglion cell B1","Retina ganglion cell B1",BAMSC1047,"Twenty to six neurons were defined as RGB1 cells (Fig. 8A, Table1). One of their characteristic features is the fact that the cell body always lies outside within the confines of the dendritic tree. They have the highest eccentricity of body relative to dendritic field of all ganglion cell identified. The majority of RGB1 cells analysed stratify diffusely within the IPL; nevertheless, their dendritic trees are centred in either the on to  or the off to  sublaminae of the IPL (Table 1). RGB1 cells were found across the retina. 1 cells had curvy but generally radially branching dendrites (Fig. 5A). They ramified in the outer IPL close to the middle.",,"retinal ganglion cell B1",":Category:Retina,:Category:Ganglion cell layer",,,,,
":Category:Retina ganglion cell B2","Retina ganglion cell B2",BAMSC1048,"Fourteen neurons were defined as RGB2 cells (Figs. 2D, 8B). These cells are easy to distinguish by the very dense nature of their small dendritic trees. This high density is due to frequent, irregular branching of fine dendrites, which curve, twist, and overlap extensively (Fig. 2D). Their cell body is generaly located well within the confines of the dendritic tree. RGB2 cells were found across the retina (Fig. 9). RGB2 cells had a very small but very dense dendritic field (Fig. 5B), featuring numerous tiny branches bearing spines. They ramified almost in the middle of the IPL.",,"retinal ganglion cell B2",":Category:Retina,:Category:Ganglion cell layer",,,,,
":Category:Retina ganglion cell B3","Retina ganglion cell B3",BAMSC1049,"Twenty to four cells were defined as RGB3 cells (Fig. 8C). The shape and branching patterns of their dendritic trees resemble those of RGA2 cells, although dendritic fields are much smaller. The somata are centrally located within the dendritic field. RGB3 cells show a greater range in dendritic field sizes than other RGB subgroups (Fig. 9), which suggests further heteronegeitiy. RGB3 cells had curvy, recursive dendrites, forming a relatively sparse dendritic field (Fig. 5C).",,"retinal ganglion cell B3",":Category:Retina,:Category:Ganglion cell layer",,,,,
":Category:Retina ganglion cell C others","Retina ganglion cell C others",BAMSC1051,"The Group RGc cells, as mentioned above, are a heterogeneous population: we labelled several neurons that could not be classified as RGC1 or RGC2. Includes previously described exmples of Type III or Class III cells (Perry, 1979, Dreher et al., 1985), with their small somata and, in some cases, very large dendritic fields.",,"retinal ganglion cell C others",":Category:Retina,:Category:Ganglion cell layer",,,,,
":Category:Retina ganglion cell C1","Retina ganglion cell C1",BAMSC1050,"Five RGc1 cells were labelled that have small somata and large asymmetrical dendritic fields (Figs. 10A, 12). Although only a small number of them were labelled, they resemble the medial terminal nucleus (MTN) to projecting cells described by Dann and Buhl (1987). Compared with neurons in Group RGA, RGC1 cells have smaller cell bodies, a higher density of dendritic branching, and usually asymmetrical dendritic fields. The RGC1 cells exhibited smooth, small caliber, recursive dendrites extending from large primary ones. Dendritic field was of medium density (Fig. 6A). The RGC1 stratified mostly in the inner IPL. Their morphology is very similar to the MTN to projecting cells characterized by Dann and Buhl (1987).",,"retinal ganglion cell C1",":Category:Retina,:Category:Ganglion cell layer",,,,,
":Category:Retina horizontal cell","Retina horizontal cell",nifext_40,"Cell in the external nuclear layer whose processes receive connections from the photoreceptors and make connections with photoreceptors and bipolar terminals in the external plexiform layer.  In the cat, one type of horizontal cell has only dendrites; another type has a dendritic arborization and a long axon and large axonal arborization, each of which  has independent inputs and outputs.",:Category:GABA,"horizontal cell (retina)",":Category:Retina external plexiform layer",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Multipolar ",,"File:Retina horizontal cell.jpg"
":Category:Retina interplexiform cell","Retina interplexiform cell",nifext_38,,,"Interplexiform amacrine cell",,,:Category:Vertebrata,,,
":Category:Retina medium complex ganglion cell","Retina medium complex ganglion cell",nifext_19,,,"Medium complex ganglion cell,Retina ganglion cell medium complex",:Category:Retina,,:Category:Vertebrata,,,
":Category:Retina medium simple ganglion cell","Retina medium simple ganglion cell",nifext_20,,,"Medium simple ganglion cell,Retina ganglion cell medium simple",:Category:Retina,,:Category:Vertebrata,,,
":Category:Retina midget bipolar cell","Retina midget bipolar cell",nifext_34,"Small cell with short bipolar processes that transmit from cone photoreceptors to midget ganglion cells.",:Category:Glutamate,"Midget cell,Retina bipolar cell midget",":Category:Retina inner nuclear layer",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Spherical ",,
":Category:Retina narrow-field bistratified amacrine cell","Retina narrow-field bistratified amacrine cell",BAMSC1070,"The third type of cell in the wide to field unistratified class of amacrine cell has a distinct dendritic pattern. The mean soma size, 11.4 micrometers, is larger than the other two types range (10.0 to 13.0 micrometers; N = 10). Usually three but sometimes two large dendrites arise from the cell in the same layer as the soma. After a short distance a very fine branch comes off each of the larger branches, again in the same plane as the cell soma.",,"narrow-field bistratified amacrine cell",":Category:Retina,:Category:Inner nuclear layer",,,,,
":Category:Retina parasol bipolar cell","Retina parasol bipolar cell",nifext_35,,,"Parasol cell,Retina bipolar cell parasol",,,,,,
":Category:Retina photoreceptor L cone cell","Retina photoreceptor L cone cell",nlx_cell_100210,"Photoreceptor with peak spectral sensitivity at 570 nanometers, i.e. relatively long wavelengths (""L"") mediating blue color, compared with green (M for medium) and blue (S for short) cones.",:Category:Glutamate,"Retina photoreceptor cone L",":Category:Retina outer nuclear layer",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Spherical ",,
":Category:Retina photoreceptor M cone cell","Retina photoreceptor M cone cell",nifext_27,"Photoreceptor with peak spectral sensitivity at 550 nanometers, i.e. relatively medium wavelengths (""M"") mediating green color, compared with blue (S for short) and red (L for long) cones.",:Category:Glutamate,"M-cone cell,Retina photoreceptor cone M",":Category:Retina outer nuclear layer",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Spherical ",,
":Category:Retina photoreceptor S cone cell","Retina photoreceptor S cone cell",nlx_cell_100211,"Photoreceptor with peak spectral sensitivity at 420 nanometers, i.e. relatively short wavelengths (""S"") mediating blue color, compared with green (M for medium) and L (for red) cones.",:Category:Glutamate,"Retina photoreceptor cone S",":Category:Retina photoreceptor layer",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Spherical ",":Category:Retina photoreceptor cone S rhodopsin",
":Category:Retina photoreceptor cone cell","Retina photoreceptor cone cell",sao1103104164,"One of the two photoreceptor cell types in the vertebrate retina. In cones the photopigment is in invaginations of the cell membrane of the outer segment. Cones are less sensitive to light than rods, but they provide vision with higher spatial and temporal acuity, and the combination of signals from cones with different pigments allows color vision. (MSH)",:Category:Glutamate,"Cone cell,cone,retinal cone",":Category:Retina outer nuclear layer",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Spherical ",,File:Cones.jpg
":Category:Retina photoreceptor rod cell","Retina photoreceptor rod cell",nlx_cell_100212,"One of the two photoreceptor cell types of the vertebrate retina. Primarily used in night vision.  Rods significantly outnumber cones.  The photopigment is in stacks of membranous disks separate from the outer cell membrane. Rods are more sensitive to light than cones, but rod mediated vision has less spatial and temporal resolution than cone vision.",:Category:Glutamate,"rod cell,rod,retinal rod photoreceptor",":Category:Retina outer nuclear layer",":Category:Intrinsic neuron role",:Category:Vertebrata,"Category:Spherical ",,"File:Retinal Rod cell.jpg"
":Category:Retina small complex ganglion cell","Retina small complex ganglion cell",nifext_21,,,"Small complex ganglion cell,Retina ganglion cell small complex",:Category:Retina,,:Category:Vertebrata,,,
":Category:Retina small simple ganglion cell","Retina small simple ganglion cell",nifext_22,,,"Small simple ganglion cell,Retina ganglion cell small simple",:Category:Retina,,:Category:Vertebrata,,,
":Category:Retina starburst amacrine cell","Retina starburst amacrine cell",nifext_37,,,"Starburst amacrine cell,Retina amacrine cell starburst",,,,,,
":Category:Retina stratified amacrine cell","Retina stratified amacrine cell",BAMSC1013,"Stratified amacrine cells have their dendrites confined to one or several places within the inner plexiform layer.",,,,,:Category:Vertebrata,,,
":Category:Retina stratified diffuse amacrine cell","Retina stratified diffuse amacrine cell",BAMSC1056,"Stratified diffuse amacrine cells have their dendrites lying in more than one plane but not extending the full of the inner plexiform layer. In the rat retina the arrangement of the dendirtes is visualized more readily in vertical sections than in whole mounts, and the dendritic filed is found to terminate in either the inner or the outer half of the inner plexiform layer, although the latter is more common. The cells have a mean soma size of 8.9 micrometers (range 7.5 to 10.5 micrometers; N = 15). Usually a single process leaves the cell soma and passes into the inner plexiform layer before a tight field of short branches is formed (see figure 8, plate 2, and figure 17); the mean dendritic size is 30 micrometers (range 20 to 46 micrometers; N = 15).",,"stratified diffuse amacrine cell",":Category:Retina,:Category:Inner nuclear layer",,,,,
":Category:Retina thick dendrite horizontal cell","Retina thick dendrite horizontal cell",nlx_152141,"One of two types of horizontal cell, it has thick dendrites and apparently no axon.  It connects to other horizontal cells and to cone terminals.  These cells are extensively interconnected by gap junctions (electrical synapses) as well as to cone terminals.  They have wide receptive fields.",":Category:Not known","H cell",":Category:Retina outer nuclear layer",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Multipolar ",,
":Category:Retina thin dendrite horizontal cell","Retina thin dendrite horizontal cell",nlx_152142,"One of two types of horizontal cell, with thin dendrites and a long very thin axon ending in a profuse arborization.  There is classical evidence that the dendrite connects to cones and axon arborization connects to rods, and that the axon does not support an action potential but serves to separate the two arborizations.  However, this issue is under investigation.  This cell type has a narrow receptive field and connects weakly to other horizontal cells.",,,":Category:Retinal inner nuclear layer",":Category:Intrinsic neuron role",:Category:Mammal,"Category:Multipolar ",,
":Category:Retina type 2 cone bipolar cell","Retina type 2 cone bipolar cell",BAMSC1016,"Type 2 and type 3 CBs have similar (with type 1 CB) dendritic tree shapes but show diffuse stratification at different levels of the outer half of the IPL, that is in strata 1 to 2 and 2, respectively. ... the axon terminal system of type 2 looks a bit disordered.",,"type 2 cone bipolar cell",":Category:Retina inner nuclear layer",,:Category:Vertebrata,,,
":Category:Retina type 3 cone bipolar cell","Retina type 3 cone bipolar cell",BAMSC1017,"Type 2 and type 3 CBs have similar (with type 1 CB) dendritic tree shapes but show diffuse stratification at different levels of the outer half of the IPL, that is in strata 1 to 2 and 2, respectively. ...the axon terminal of type 3 shows a  and quot;well to arranged and quot; treelike branching pattern.",,"type 3 cone bipolar cell",":Category:Retina inner nuclear layer",,:Category:Vertebrata,,,
":Category:Retina type 4 cone bipolar cell","Retina type 4 cone bipolar cell",BAMSC1018,"Type 4 (n = 4, Fig. 1E) is a diffuse CB stratifying in both strata 1 and 2.",,"type 4 cone bipolar cell",":Category:Retina,:Category:Inner nuclear layer",,:Category:Vertebrata,,,
":Category:Retina type 5 cone bipolar cell","Retina type 5 cone bipolar cell",BAMSC1019,"Type 5 and type 6, both have a very narrow ramification. By using Normaski optics, the two cell types can be distinguished by their stratification level within the IPL relative to a band of higher optical density, which is localized at the border of strata 3 and 4 and represents the inner cholinergic band.",,"type 5 cone bipolar cell",":Category:Retina,:Category:Inner nuclear layer",,:Category:Vertebrata,,,
":Category:Retina type 6 cone bipolar cell","Retina type 6 cone bipolar cell",BAMSC1020,"Type 5 and type 6, both have a very narrow ramification. By using Normaski optics, the two cell types can be distinguished by their stratification level within the IPL relative to a band of higher optical density, which is localized at the border of strata 3 and 4 and represents the inner cholinergic band.",,"type 6 cone bipolar cell",":Category:Retina,:Category:Inner nuclear layer",,:Category:Vertebrata,,,
":Category:Retina type 7 cone bipolar cell","Retina type 7 cone bipolar cell",BAMSC1021,"Type 7 and type 8  are diffuse CBs with their axonal terminal systems in the inner part of the IPL. Type 7 stratifies in strata 3 and 4....Both cell types (type 7 and type 8) have slender cell bodies.",,"type 7 cone bipolar cell",":Category:Retina,:Category:Inner nuclear layer",,:Category:Vertebrata,,,
":Category:Retina wide field diffuse amacrine cell","Retina wide field diffuse amacrine cell",BAMSC1012,"This cell type has a mean soma size of 10 micrometers (range 8.3 to 13.5 micrometers; N = 14). The extent of its dendritic field is difficult to define precisely; there is a core of short branches that extend vertically through the inner plexiform layer, and this core is surrounded by a number of branches that take an oblique course through the inner plexiform layer before terminating at variable distance from the cell soma at the level of ganglion cells. The dendrites of these cells have a characteristic varicose appearance and the ends of the dendrites often terminate with one of these swellings.",,,":Category:Retina inner nuclear layer",,:Category:Vertebrata,,,
":Category:Retina wide-field bistratified amacrine cell","Retina wide-field bistratified amacrine cell",BAMSC1071,"These wide to field bistratified cells have a process that leaves the soma and passes almost vertically through the inner plexiform layer before branching near the ganglion cell layer, but in addition they also have processes that run laterally at the level of the inner nuclear layer.",,"wide-field bistratified amacrine cell",":Category:Retina,:Category:Inner nuclear layer",,,,,
":Category:Rh5 photoreceptor of Bolwig organ","Rh5 photoreceptor of Bolwig organ",nlx_148467,,,"Rh5-expressing photoreceptor of Bolwig''s organ",,,,,,
":Category:Rh6 photoreceptor of Bolwig organ","Rh6 photoreceptor of Bolwig organ",nlx_148474,,,"Rh6 photoreceptor of Bolwig''s organ",,,,,,
":Category:Rhabdomeric photoreceptor cell","Rhabdomeric photoreceptor cell",nlx_148044,,,,,,,,,
":Category:Ring neuron","Ring neuron",nlx_147383,"A large field neuron that forms ring-shaped arborizations in the ellipsoid body that circle the ellipsoid body canal. These arborizations may form complete or partial rings.",,,,,,,,
":Category:S cell","S cell",nlx_148450,"Gustatory receptor neuron responsive to sugars (Montell, 2009), and also amino acids (Dunipace, et al., 2001).",,,,,,,,
":Category:S-LNv neuron","S-LNv neuron",nlx_148119,"Neuron of the period-expressing LNv cluster, with a small cell body and generally located more dorsally than the l-LNv neurons (Helfrich-Forster, 1998). There are 5 cells present in each cluster, all except one of which express Pdf (FBgn0023178).",,s-LNv,,,,,,
":Category:SOG ventral unpaired median neuron","SOG ventral unpaired median neuron",nlx_148967,"Octopaminergic neuron (Sinakevitch and Strausfeld, 2006) whose cell body is located in a cluster around the ventral midline of the subesophageal ganglion (Tanaka et al., 2008).",,"SOG VUM neuron",,,,,,
":Category:SP1 neuron","SP1 neuron",nlx_146437,"Bilaterally paired neuron of the embryo / larva. Each(?) abdominal segment contains a pair of SP1 neurons with an axon that crosses the ventral midline as part of the anterior commissure, wraps around the cell body of its contralateral partner and then extends anteriorly as part of the longitudinal connective. During development, these axons pioneer the anterior commissure and longitudinal connectives.",,,,,,,,
":Category:SP3 neuron","SP3 neuron",nlx_149074,"Larval neuro-secretory neuron whose cell body is located in the superior medial protocerebrum. There is one cell per brain hemisphere (McCormick and Nichols, 1993) and its axon innervates the corpus cardiacum (Wegener et al., 2011).",,,,,,,,
":Category:Scolopidial neuron","Scolopidial neuron",nlx_147853,"Sensory neuron of chordotonal organ. The tip of its dendrite is associated with a rod-like structure called a scolopale.",,,,,,,,
":Category:Segmental nerve pioneer neuron","Segmental nerve pioneer neuron",nlx_146443,"Neuron that, along with one or two other neurons, pioneers the segmental nerve. The cell bodies of this cluster of 2-3 neurons are located posterior and slightly more lateral than the aCC and pCC neurons.",,SN-pioneer,,,,,,
":Category:Sensory neuron (FBbt Term)","Sensory neuron (FBbt Term)",nlx_147829,"Any neuron (FBbt_00005106) that functions in (some) detection of stimulus involved in sensory perception (GO:0050906).",,,,,,,,
":Category:Sensory neuron of trichoid sensillum","Sensory neuron of trichoid sensillum",nlx_148060,"Any neuron (FBbt_00005106) that is part of some sensillum trichodeum (FBbt_00005184).",,,,,,,,
":Category:Serotonergic neuron (FBbt Term)","Serotonergic neuron (FBbt Term)",nlx_147837,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some serotonin (CHEBI:28790).",,"serotonin neuron",,,,,,
":Category:Serotonergic-abdominal giant neuron","Serotonergic-abdominal giant neuron",nlx_148988,"Serotonergic neuron of the dorso-posterior tip of the thoracico-abdominal ganglion with a large cell body. It fasciculates posteriorly with the abdominal nerve trunk and it branches to innervate the testicular ducts, the seminal vesicle, the accessory glands and the anterior ejaculatory duct (Lee et al., 2001). The cell bodies of these neurons are arranged as a cluster of 8 cells at the dorsal tip of the thoracico-abdominal ganglion (Lee and Hall, 2001).",,s-Abg,,,,,,
":Category:Small adult Pdf neuron of abdominal segment","Small adult Pdf neuron of abdominal segment",nlx_148533,"Larval Pdf neuron of the abdominal neuromere with a smaller cell body than the larger Pdf neurons that are located more ventral and anteriorly (Helfrich-Forster, 1997).",,,,,,,,
":Category:Small field neuron","Small field neuron",nlx_147367,"An interneuron whose arborization fields are small.",,,,,,,,
":Category:Small field neuron of the central complex","Small field neuron of the central complex",nlx_148189,"A small field neuron that innervates the central complex. The majority of small field neurons of the central complex are intrinsic to it, and they typically connect one central complex domain to another. Some also connect subdomains within a single central complex domain.",,"columnar neuron of central complex",,,,,,
":Category:Solitary tract nucleus HSD2 neuron","Solitary tract nucleus HSD2 neuron",BAMSC1112,"A subgroup of neurons in NTS that express glucocorticoid to inactivating enzyme 11 to beta to hydroxysteroid dehydrogenase type 2 (HSD2), a signature of aldosterone to sensitive tissues. Similar neurons are found in other brain regions.  The NTS population may represent a unique phenotype.",,"HSD2 neuron,HSD2 cell",":Category:Solitary nucleus",":Category:Principal neuron role",:Category:Rat,,":Category:Hydroxysteroid dehydrogenase type 2",
":Category:Solitary tract nucleus intrinsic cell","Solitary tract nucleus intrinsic cell",nifext_101,,,"Nucleus of the solitary tract",":Category:Solitary nucleus",,:Category:Vertebrata,,,
":Category:Solitary tract nucleus principal cell","Solitary tract nucleus principal cell",nifext_100,projects,:Category:Glutamate,,":Category:Solitary nucleus,:Category:Central subnucleus",,:Category:Rodent,"Category:Multipolar ",,
":Category:Somatogastric ganglion neuron","Somatogastric ganglion neuron",nlx_151986,,,,,,,,,
